fecha_scraping,titulo,autor,precio_actual,precio_anterior,url_producto,categoria,categorias_join,url_norm
2025-10-20,12 Reglas para Vivir. Un Antídoto al Caos,,51.92,64.9,https://www.crisol.com.pe/12-reglas-para-vivir-un-antidoto-al-caos-9786125027047,No Ficcion / Humanidades,No Ficcion / Humanidades | No Ficcion / Humanidades / Filosofia,https://www.crisol.com.pe/12-reglas-para-vivir-un-antidoto-al-caos-9786125027047
2025-10-20,2025 Family Desk Pad and Wall Calendar,,49.01,,https://www.crisol.com.pe/2025-family-desk-pad-and-wall-calendar-9781441342379,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/2025-family-desk-pad-and-wall-calendar-9781441342379
2025-10-20,24 Colores Súper Intensos & Sacapuntas Artesco,,14.9,,https://www.crisol.com.pe/24-colores-super-intensos-&-sacapuntas-artesco-7750082003620,Smart Play / Complementos / Utiles De Escritorio,Smart Play / Complementos / Utiles De Escritorio,https://www.crisol.com.pe/24-colores-super-intensos-&-sacapuntas-artesco-7750082003620
2025-10-20,24 Poetas Latinoamericanos,,43.2,54.0,https://www.crisol.com.pe/24-poetas-latinoamericanos-9786123050610,Ficcion / Lirica Y Drama,Ficcion / Lirica Y Drama | Ficcion / Lirica Y Drama / Poesia,https://www.crisol.com.pe/24-poetas-latinoamericanos-9786123050610
2025-10-20,Abril rojo,,55.92,69.9,https://www.crisol.com.pe/abril-rojo-9786124379550,Ficcion / Narrativa,Ficcion / Narrativa | Ficcion / Narrativa / Literatura Peruana,https://www.crisol.com.pe/abril-rojo-9786124379550
2025-10-20,Acerca de comer carne. Los animales utilizan la razón,,28.8,36.0,https://www.crisol.com.pe/acerca-de-comer-carne-los-animales-utilizan-la-razon--9788497169073,No Ficcion / Humanidades,No Ficcion / Humanidades | No Ficcion / Humanidades / Filosofia,https://www.crisol.com.pe/acerca-de-comer-carne-los-animales-utilizan-la-razon--9788497169073
2025-10-20,Agenda 2026 2 días por página Hope,,39.9,,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-hope-7799133028328,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-hope-7799133028328
2025-10-20,Agenda 2026 2 días por página Pastel,,39.9,,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-pastel-7799133028359,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-2-dias-por-pagina-pastel-7799133028359
2025-10-20,Agenda 2026 Atenas Clásica Azul,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-azul-7750082155770,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-azul-7750082155770
2025-10-20,Agenda 2026 Atenas Clásica Cuero,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-cuero-7750082155787,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-cuero-7750082155787
2025-10-20,Agenda 2026 Atenas Clásica Guinda,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-guinda-7750082155794,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-guinda-7750082155794
2025-10-20,Agenda 2026 Atenas Clásica Negro,,27.9,,https://www.crisol.com.pe/agenda-2026-atenas-clasica-negro-7750082155763,Smart Play / Complementos / Agendas Y Libretas,Smart Play / Complementos / Agendas Y Libretas,https://www.crisol.com.pe/agenda-2026-atenas-clasica-negro-7750082155763
