transaction_id,line_id,titulo,cantidad,precio_unitario,descuento_aplicado_pct,precio_final_unitario,line_total,vendor,ingest_date
CR-TX-0000001,CR-TX-0000001-L01,Agenda 2026 Minnie Diaria,1,69.9,21.0,55.22,55.22,crisol,2025-11-09
CR-TX-0000001,CR-TX-0000001-L02,Guardianes de la noche 4,2,34.3,5.0,32.58,65.16,crisol,2025-11-09
CR-TX-0000001,CR-TX-0000001-L03,Dune. Dune. 1,1,63.2,8.0,58.14,58.14,crisol,2025-11-09
CR-TX-0000002,CR-TX-0000002-L01,Bungou Stray Dogs 5,3,34.3,13.0,29.84,89.52,crisol,2025-11-09
CR-TX-0000002,CR-TX-0000002-L02,El libro del cine,3,103.2,22.0,80.5,241.5,crisol,2025-11-09
CR-TX-0000002,CR-TX-0000002-L03,Horas en una biblioteca,2,39.2,4.0,37.63,75.26,crisol,2025-11-09
CR-TX-0000002,CR-TX-0000002-L04,Mother Night,1,45.5,2.0,44.59,44.59,crisol,2025-11-09
CR-TX-0000003,CR-TX-0000003-L01,Broken eye,2,76.0,10.0,68.4,136.8,crisol,2025-11-09
CR-TX-0000004,CR-TX-0000004-L01,Mejores amigos,1,55.3,8.0,50.88,50.88,crisol,2025-11-09
CR-TX-0000004,CR-TX-0000004-L02,Cuentos escogidos,1,47.2,7.0,43.9,43.9,crisol,2025-11-09
CR-TX-0000004,CR-TX-0000004-L03,42 flores del mal,1,23.2,12.0,20.42,20.42,crisol,2025-11-09
CR-TX-0000004,CR-TX-0000004-L04,El hombre en busca de sentido,3,70.0,16.0,58.8,176.4,crisol,2025-11-09
CR-TX-0000005,CR-TX-0000005-L01,Set de lápices Bookaroo Graphite Pencils Pastels,3,24.9,14.0,21.41,64.23,crisol,2025-11-09
CR-TX-0000006,CR-TX-0000006-L01,Dead Dead Demons Dededede Destruction 1,3,34.3,1.0,33.96,101.88,crisol,2025-11-09
CR-TX-0000006,CR-TX-0000006-L02,Mi conquista tiene una lista,2,72.0,7.0,66.96,133.92,crisol,2025-11-09
CR-TX-0000006,CR-TX-0000006-L03,Días de arena,2,111.92,21.0,88.42,176.84,crisol,2025-11-09
CR-TX-0000006,CR-TX-0000006-L04,La tormenta del siglo,1,47.2,4.0,45.31,45.31,crisol,2025-11-09
CR-TX-0000007,CR-TX-0000007-L01,Borges Profesor,3,71.2,13.0,61.94,185.82,crisol,2025-11-09
CR-TX-0000007,CR-TX-0000007-L02,Cuentos para leer con papá,3,39.92,12.0,35.13,105.39,crisol,2025-11-09
CR-TX-0000007,CR-TX-0000007-L03,"Rompecabezas 1000 Angkor Wat, Cambodia",3,59.9,13.0,52.11,156.33,crisol,2025-11-09
CR-TX-0000007,CR-TX-0000007-L04,El español,3,71.2,4.0,68.35,205.05,crisol,2025-11-09
CR-TX-0000008,CR-TX-0000008-L01,Serendipity,3,55.2,17.0,45.82,137.46,crisol,2025-11-09
CR-TX-0000008,CR-TX-0000008-L02,Rompecabezas 3D Stegosaurus,1,49.01,11.0,43.62,43.62,crisol,2025-11-09
CR-TX-0000008,CR-TX-0000008-L03,"Marcapáginas Happiness, Puppy, Book",2,17.9,23.0,13.78,27.56,crisol,2025-11-09
CR-TX-0000008,CR-TX-0000008-L04,Rompecabezas 3D New York Empire State Building LED,1,59.0,23.0,45.43,45.43,crisol,2025-11-09
CR-TX-0000009,CR-TX-0000009-L01,Rutas de incertidumbre,1,40.8,22.0,31.82,31.82,crisol,2025-11-09
CR-TX-0000009,CR-TX-0000009-L02,Esperaré siempre tu regreso,2,80.0,12.0,70.4,140.8,crisol,2025-11-09
CR-TX-0000009,CR-TX-0000009-L03,Comer para sanar,2,63.92,15.0,54.33,108.66,crisol,2025-11-09
CR-TX-0000009,CR-TX-0000009-L04,El principito,2,31.92,0.0,31.92,63.84,crisol,2025-11-09
CR-TX-0000010,CR-TX-0000010-L01,Museo de la hechicería,1,97.3,21.0,76.87,76.87,crisol,2025-11-09
CR-TX-0000011,CR-TX-0000011-L01,Peruanos ejemplares del siglo XX,1,79.92,13.0,69.53,69.53,crisol,2025-11-09
CR-TX-0000011,CR-TX-0000011-L02,Bungou Stray Dogs 9,3,34.3,5.0,32.58,97.74,crisol,2025-11-09
CR-TX-0000011,CR-TX-0000011-L03,REBELION EN LA GRANJA,2,55.2,19.0,44.71,89.42,crisol,2025-11-09
CR-TX-0000012,CR-TX-0000012-L01,El largo adiós,1,47.2,11.0,42.01,42.01,crisol,2025-11-09
CR-TX-0000012,CR-TX-0000012-L02,La ciencia de hacerse rico,2,31.92,1.0,31.6,63.2,crisol,2025-11-09
CR-TX-0000012,CR-TX-0000012-L03,La vida con perros 02,2,34.3,17.0,28.47,56.94,crisol,2025-11-09
CR-TX-0000012,CR-TX-0000012-L04,¿Dónde está mi juguete?,1,47.92,17.0,39.77,39.77,crisol,2025-11-09
CR-TX-0000013,CR-TX-0000013-L01,Quisicosas: ¿Qué es esto?,3,29.4,6.0,27.64,82.92,crisol,2025-11-09
CR-TX-0000013,CR-TX-0000013-L02,Llavero liberen a dobby,3,49.9,2.0,48.9,146.7,crisol,2025-11-09
CR-TX-0000013,CR-TX-0000013-L03,¿Es el emprendimiento para mí?,1,48.0,3.0,46.56,46.56,crisol,2025-11-09
CR-TX-0000013,CR-TX-0000013-L04,Dos chicas de cuidado,3,36.0,21.0,28.44,85.32,crisol,2025-11-09
CR-TX-0000014,CR-TX-0000014-L01,The World Of Ice & Snow. The Arcyic,2,69.9,20.0,55.92,111.84,crisol,2025-11-09
CR-TX-0000014,CR-TX-0000014-L02,Journal Watercolor Horse,1,49.01,1.0,48.52,48.52,crisol,2025-11-09
CR-TX-0000015,CR-TX-0000015-L01,Alfred Hitchcock: El niño que filmó el miedo,2,55.3,15.0,47.0,94.0,crisol,2025-11-09
CR-TX-0000015,CR-TX-0000015-L02,Viajero Goldfish,1,31.2,19.0,25.27,25.27,crisol,2025-11-09
CR-TX-0000015,CR-TX-0000015-L03,Ariel,3,79.2,20.0,63.36,190.08,crisol,2025-11-09
CR-TX-0000016,CR-TX-0000016-L01,Olivia salva el circo,1,44.0,12.0,38.72,38.72,crisol,2025-11-09
CR-TX-0000016,CR-TX-0000016-L02,Romper el círculo,3,79.92,22.0,62.34,187.02,crisol,2025-11-09
CR-TX-0000016,CR-TX-0000016-L03,La Rebelión de Tupac Amaru,3,24.0,16.0,20.16,60.48,crisol,2025-11-09
CR-TX-0000017,CR-TX-0000017-L01,El baile de las mujeres sabias,1,47.2,16.0,39.65,39.65,crisol,2025-11-09
CR-TX-0000018,CR-TX-0000018-L01,Inteligencia artificial: la revolución que cambiará todo,2,47.92,8.0,44.09,88.18,crisol,2025-11-09
CR-TX-0000019,CR-TX-0000019-L01,Maus,1,79.2,3.0,76.82,76.82,crisol,2025-11-09
CR-TX-0000019,CR-TX-0000019-L02,Los Simpson y la filosofía,2,71.2,17.0,59.1,118.2,crisol,2025-11-09
CR-TX-0000019,CR-TX-0000019-L03,En Búsqueda del Sol,3,39.2,7.0,36.46,109.38,crisol,2025-11-09
CR-TX-0000019,CR-TX-0000019-L04,Japón No Da Dos Oportunidades,1,47.2,10.0,42.48,42.48,crisol,2025-11-09
CR-TX-0000020,CR-TX-0000020-L01,Marvel Rising. Heroínas de la Mesa Redonda,3,29.5,4.0,28.32,84.96,crisol,2025-11-09
CR-TX-0000020,CR-TX-0000020-L02,Teatro reunido,3,111.92,0.0,111.92,335.76,crisol,2025-11-09
CR-TX-0000020,CR-TX-0000020-L03,Batman: Un Caballero Oscuro 1,3,41.3,16.0,34.69,104.07,crisol,2025-11-09
CR-TX-0000021,CR-TX-0000021-L01,Maestras del engaño,3,95.2,12.0,83.78,251.34,crisol,2025-11-09
CR-TX-0000021,CR-TX-0000021-L02,Ecos lejanos. Los gatos guerreros: El augurio de las estrellas. 2,2,47.2,25.0,35.4,70.8,crisol,2025-11-09
CR-TX-0000021,CR-TX-0000021-L03,Thermae Romae 1,1,24.5,6.0,23.03,23.03,crisol,2025-11-09
CR-TX-0000022,CR-TX-0000022-L01,Pack bullet journal. Est trend gl32m,1,19.89,11.0,17.7,17.7,crisol,2025-11-09
CR-TX-0000022,CR-TX-0000022-L02,El Hombre en Busca del Sentido Último,3,47.2,14.0,40.59,121.77,crisol,2025-11-09
CR-TX-0000022,CR-TX-0000022-L03,YuMe Spy x Family Squish Hero (modelo aleatorio),2,29.9,4.0,28.7,57.4,crisol,2025-11-09
CR-TX-0000022,CR-TX-0000022-L04,Las crónicas de Narnia,1,97.3,17.0,80.76,80.76,crisol,2025-11-09
CR-TX-0000023,CR-TX-0000023-L01,The Flood. Blackwater. 1,3,41.3,7.0,38.41,115.23,crisol,2025-11-09
CR-TX-0000024,CR-TX-0000024-L01,Agenda 2026 Trendy Golden Renacer & Lapicero GL32 Dorado,1,29.9,15.0,25.41,25.41,crisol,2025-11-09
CR-TX-0000024,CR-TX-0000024-L02,Llavero Giratiempo,1,79.9,2.0,78.3,78.3,crisol,2025-11-09
