transaction_id,fecha_compra,usuario_id,region,n_items,total_transaction,medio_pago,estado_pago,vendor,ingest_date
CR-TX-0000001,2022-11-17,846944681,Chiclayo,3,178.52,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000002,2024-05-29,72093245,Arequipa,4,450.87,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000003,2024-11-12,217279594,Cajamarca,1,136.8,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000004,2024-12-22,219589386,Huánuco,4,291.6,Yape,Completado,crisol,2025-11-09
CR-TX-0000005,2025-05-19,487718440,Huánuco,1,64.23,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000006,2024-05-06,101841703,Cusco,4,457.95,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000007,2025-08-13,565549649,Piura,4,652.59,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000008,2023-12-18,494903740,Lima,4,254.07,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000009,2024-01-23,26213767,Ayacucho,4,345.12,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000010,2023-11-03,180010955,Arequipa,1,76.87,Efectivo,Pendiente,crisol,2025-11-09
CR-TX-0000011,2024-11-21,574435989,Tacna,3,256.69,Transferencia,Cancelado,crisol,2025-11-09
CR-TX-0000012,2025-01-08,969201868,Huancayo,4,201.92,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000013,2023-12-18,43548037,Piura,4,361.5,Plin,Pendiente,crisol,2025-11-09
CR-TX-0000014,2023-02-06,936430998,Chiclayo,2,160.36,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000015,2025-03-20,949814853,Ayacucho,3,309.35,Plin,Completado,crisol,2025-11-09
CR-TX-0000016,2023-02-10,96201527,Cusco,3,286.22,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000017,2023-02-26,491478089,Pucallpa,1,39.65,Yape,Completado,crisol,2025-11-09
CR-TX-0000018,2025-02-19,32239174,Huánuco,1,88.18,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000019,2023-03-15,937651285,Huancayo,4,346.88,Efectivo,Pendiente,crisol,2025-11-09
CR-TX-0000020,2025-05-18,565706460,Cusco,3,524.79,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000021,2025-06-19,49392070,Ayacucho,3,345.17,Transferencia,Cancelado,crisol,2025-11-09
CR-TX-0000022,2023-11-09,438543191,Trujillo,4,277.63,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000023,2024-06-14,122308152,Piura,1,115.23,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000024,2024-09-09,458209399,Huánuco,3,157.54,Yape,Completado,crisol,2025-11-09
CR-TX-0000025,2025-01-04,811325224,Trujillo,2,159.67,Plin,Pendiente,crisol,2025-11-09
CR-TX-0000026,2025-05-27,555633912,Ayacucho,2,184.72,Plin,Completado,crisol,2025-11-09
CR-TX-0000027,2024-10-08,46055904,Huancayo,3,327.42,Plin,Completado,crisol,2025-11-09
CR-TX-0000028,2023-05-29,578711823,Piura,3,161.84,Plin,Completado,crisol,2025-11-09
CR-TX-0000029,2024-10-12,902351672,Pucallpa,2,258.06,Yape,Completado,crisol,2025-11-09
CR-TX-0000030,2025-07-10,768336705,Cusco,2,268.59,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000031,2024-04-23,417256515,Trujillo,2,404.31,Yape,Completado,crisol,2025-11-09
CR-TX-0000032,2025-03-04,20501292,Ica,4,547.9,Yape,Completado,crisol,2025-11-09
CR-TX-0000033,2024-07-29,635841848,Cusco,3,573.4,Tarjeta de Crédito,Cancelado,crisol,2025-11-09
CR-TX-0000034,2025-08-29,669497132,Huancayo,4,412.13,Plin,Completado,crisol,2025-11-09
CR-TX-0000035,2023-08-19,517456619,Trujillo,4,280.68,Plin,Pendiente,crisol,2025-11-09
CR-TX-0000036,2023-07-06,455503305,Cusco,1,74.84,Yape,Pendiente,crisol,2025-11-09
CR-TX-0000037,2024-11-03,344526081,Lima,2,218.97,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000038,2023-12-15,945693981,Ayacucho,3,455.14,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000039,2025-02-10,521729941,Huánuco,4,280.28,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000040,2024-08-12,203379155,Trujillo,1,65.53,Yape,Completado,crisol,2025-11-09
CR-TX-0000041,2023-12-31,23059753,Lima,3,332.32,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000042,2024-12-05,15430761,Pucallpa,2,137.59,Plin,Completado,crisol,2025-11-09
CR-TX-0000043,2023-09-12,45766573,Trujillo,2,182.38,Transferencia,Cancelado,crisol,2025-11-09
CR-TX-0000044,2023-06-27,695294275,Huancayo,1,123.88,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000045,2024-11-09,96201527,Cusco,2,152.96,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000046,2024-11-26,265769590,Tacna,2,291.49,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000047,2025-08-23,441401151,Ica,2,231.01,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000048,2023-05-05,127146375,Trujillo,1,85.9,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000049,2024-08-13,271530615,Lima,3,968.23,Efectivo,Pendiente,crisol,2025-11-09
CR-TX-0000050,2023-12-13,350879424,Pucallpa,1,158.01,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000051,2025-08-19,159362239,Cajamarca,1,35.11,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000052,2022-10-08,431421973,Pucallpa,2,104.91,Plin,Completado,crisol,2025-11-09
CR-TX-0000053,2025-01-25,746326954,Piura,3,525.8,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000054,2023-05-20,887314839,Trujillo,4,228.32,Efectivo,Pendiente,crisol,2025-11-09
CR-TX-0000055,2023-03-05,180162221,Huancayo,3,318.99,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000056,2025-05-18,773969007,Cajamarca,4,610.08,Plin,Cancelado,crisol,2025-11-09
CR-TX-0000057,2025-09-11,509816204,Cusco,1,162.33,Plin,Completado,crisol,2025-11-09
CR-TX-0000058,2024-01-11,372244219,Cajamarca,3,372.93,Yape,Cancelado,crisol,2025-11-09
CR-TX-0000059,2023-12-10,374194628,Lima,1,51.08,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000060,2022-11-04,876603996,Huancayo,4,362.73,Yape,Pendiente,crisol,2025-11-09
CR-TX-0000061,2022-11-19,369930807,Huánuco,1,100.46,Tarjeta de Crédito,Pendiente,crisol,2025-11-09
CR-TX-0000062,2025-04-16,835759851,Tacna,1,75.25,Efectivo,Completado,crisol,2025-11-09
CR-TX-0000063,2024-01-05,582397116,Huancayo,1,121.04,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000064,2023-10-06,49315449,Trujillo,2,281.24,Yape,Completado,crisol,2025-11-09
CR-TX-0000065,2023-12-15,564804742,Huancayo,1,326.52,Tarjeta de Crédito,Completado,crisol,2025-11-09
CR-TX-0000066,2023-03-03,476386097,Ayacucho,2,167.2,Transferencia,Completado,crisol,2025-11-09
CR-TX-0000067,2025-07-02,142139534,Cajamarca,1,180.26,Plin,Completado,crisol,2025-11-09
CR-TX-0000068,2023-11-24,616416868,Piura,2,498.46,Plin,Completado,crisol,2025-11-09
