fecha_scraping,titulo,autor,precio_actual,precio_anterior,url_producto,categoria,categorias_join,url_norm,isbn,sku,editorial,edicion,anio_edicion,paginas,product_id,product_id_stable
2025-10-06,1 EN UN MILLÓN,Fernando Eguiluz,69.9,,https://www.sbs.com.pe/1-en-un-millon-9786123198008.html,Empresa Y Management,Empresa Y Management | Empresa Y Management / Exito Empresarial,https://www.sbs.com.pe/1-en-un-millon-9786123198008.html,9786123198008,,"EDITORIAL PLANETA, PERU - GRUPO PLANETA",1,2023,168,,9295600d83a608c3fab7a47ecbeba0600610c3d4
2025-10-06,1 HABITO PARA CAMBIARTE LA VIDA,Mel Robbins,69.9,,https://www.sbs.com.pe/1-habito-para-cambiarte-la-vida-9786280003979.html,Desarrollo Personal Y Bienestar,Desarrollo Personal Y Bienestar | Desarrollo Personal Y Bienestar / Desarrollo Personal | Desarrollo Personal Y Bienestar / Desarrollo Personal / Autoayuda,https://www.sbs.com.pe/1-habito-para-cambiarte-la-vida-9786280003979.html,9786280003979,,EDICIONES PAIDOS,1,2022,240,,7d66549194c8a0d74fb5ad3910dbfcb31875c1a1
2025-10-06,"1: STAR WARS THE FORCE AWAKENS: TALES FROM A GALAXY FAR, FAR AWAY",Landry Quinn Walker,10.0,65.9,https://www.sbs.com.pe/1-star-wars-the-force-awakens-tales-from-a-galaxy-far-far-away-9781484741412.html,Comics Manga Y Novelas Graficas / Comics,Comics Manga Y Novelas Graficas / Comics,https://www.sbs.com.pe/1-star-wars-the-force-awakens-tales-from-a-galaxy-far-far-away-9781484741412.html,9781484741412,,DISNEY LUCASFILM PRESS - HBGUSA,1,2016,352,,a52801dedea99f77b933f466f48efea9090ec02d
2025-10-06,10 ALEGRES PIRATAS,Rebecca Weerasekera,55.0,,https://www.sbs.com.pe/10-alegres-piratas-9788491452140.html,Libros Para Ninos / De 3 A 5 Anos,Libros Para Ninos / De 3 A 5 Anos,https://www.sbs.com.pe/10-alegres-piratas-9788491452140.html,9788491452140,,PICARONA - EDICIONES OBELISCO,1,2019,8,105503,c596506b0351cd32af9ae36aa148094f57a94056
2025-10-06,10 AÑOS,Tondero,9.9,,https://www.sbs.com.pe/10-anos-9786123193898.html,No Ficcion / Arte Arquitectura Y Fotografia,No Ficcion / Arte Arquitectura Y Fotografia,https://www.sbs.com.pe/10-anos-9786123193898.html,9786123193898,,"EDITORIAL PLANETA, PERU - GRUPO PLANETA",1,2018,212,,55b38a01c9929877fdbf85103813f84279b0a2f8
2025-10-06,10 CITAS A CIEGAS,Ashley Elston,99.9,,https://www.sbs.com.pe/10-citas-a-ciegas-9788408234401.html,Juvenil / Literatura Y Ficcion / Romance,Juvenil / Literatura Y Ficcion / Romance,https://www.sbs.com.pe/10-citas-a-ciegas-9788408234401.html,9788408234401,,CROSS BOOKS,1,2024,320,107492,06b6d6481922b8cfb31997052836944b974584c1
2025-10-06,10 COSAS QUE PUEDES HACER PARA AHORRAR ELECTRICIDAD,Jenny Mason,62.1,,https://www.sbs.com.pe/10-cosas-que-puedes-hacer-para-ahorrar-electricidad-9781338187809.html,Libros Para Ninos / Libros En Ingles Para Ninos,Libros Para Ninos / Libros En Ingles Para Ninos,https://www.sbs.com.pe/10-cosas-que-puedes-hacer-para-ahorrar-electricidad-9781338187809.html,9781338187809,,SCHOLASTIC USA,1,2017,0,,a6d134104eaa6b800fb7bead578e92e793738880
2025-10-06,10 COSAS QUE PUEDES HACER PARA PROTEGER A LOS ANIMALES,Elizabeth Weitzman,33.3,,https://www.sbs.com.pe/10-cosas-que-puedes-hacer-para-proteger-a-los-animales-9781338187786.html,Libros Para Ninos / Libros En Ingles Para Ninos,Libros Para Ninos / Libros En Ingles Para Ninos,https://www.sbs.com.pe/10-cosas-que-puedes-hacer-para-proteger-a-los-animales-9781338187786.html,9781338187786,,SCHOLASTIC USA,1,2017,0,,5c1c59d8a2a1c446890783817cc0a5ce8336d9de
2025-10-06,10 CUENTOS DE ANIMALES PARA DULCES SUEÑOS (NEW),Varios Autores,77.7,,https://www.sbs.com.pe/10-cuentos-de-animales-para-dulces-suenos-new-9786075329789.html,Libros Para Ninos / De 3 A 5 Anos,Libros Para Ninos / De 3 A 5 Anos | Libros Para Ninos / De 3 A 5 Anos / Cuentos,https://www.sbs.com.pe/10-cuentos-de-animales-para-dulces-suenos-new-9786075329789.html,9786075329789,,SILVER DOLPHIN - ADVANCED MARKETING,1,2020,1,,2b5d0729b89813224a37a69cd9723cb277696b9e
2025-10-06,10 CUENTOS FABULOSOS DE ANIMALES,Varios Autores,41.0,,https://www.sbs.com.pe/10-cuentos-fabulosos-de-animales-9788417928988.html,Libros Para Ninos,Libros Para Ninos | Libros Para Ninos / De 6 A 9 Anos | Libros Para Ninos / De 6 A 9 Anos / Coleccion De Cuentos,https://www.sbs.com.pe/10-cuentos-fabulosos-de-animales-9788417928988.html,9788417928988,,PLUTON EDICIONES,1,2022,162,106076,67f882915ea21d7906604ed8eefc87effbc2c37b
2025-10-06,10 CUENTOS FABULOSOS DE LA GRANJA,Varios Autores,41.0,,https://www.sbs.com.pe/10-cuentos-fabulosos-de-la-granja-9788417928995.html,Libros Para Ninos,Libros Para Ninos | Libros Para Ninos / De 6 A 9 Anos | Libros Para Ninos / De 6 A 9 Anos / Coleccion De Cuentos,https://www.sbs.com.pe/10-cuentos-fabulosos-de-la-granja-9788417928995.html,9788417928995,,PLUTON EDICIONES,1,2022,162,106079,a1458234ca279bb0ca55f03d1b625d780da13e74
2025-10-06,10 FABULOSOS CUENTOS DE LA GRANJA,Varios Autores,77.7,,https://www.sbs.com.pe/10-fabulosos-cuentos-de-la-granja-9786075322766.html,Libros Para Ninos / De 6 A 9 Anos,Libros Para Ninos / De 6 A 9 Anos | Libros Para Ninos / De 6 A 9 Anos / Cuentos,https://www.sbs.com.pe/10-fabulosos-cuentos-de-la-granja-9786075322766.html,9786075322766,,SILVER DOLPHIN - ADVANCED MARKETING,1,2018,239,,a3274b744898db5672ef7e20e24f6c234e504ddf
2025-10-06,10 IDEAS PARA SALVAR EL PLANETA,"Elionora Fornasi, Clarissa Corradin",65.0,,https://www.sbs.com.pe/10-ideas-para-salvar-el-planeta-9788491425199.html,Libros Para Ninos / De 6 A 9 Anos / Ciencias Y Naturaleza,Libros Para Ninos / De 6 A 9 Anos / Ciencias Y Naturaleza,https://www.sbs.com.pe/10-ideas-para-salvar-el-planeta-9788491425199.html,9788491425199,,ALGAR,1,2021,40,,2abf81ac0ff7ce546869dafcca23630cafe8035d
2025-10-06,10 IDEAS PARA SUPERAR EL RACISMO,"Elionora Fornasi, Clarissa Corradin",65.0,,https://www.sbs.com.pe/10-ideas-para-superar-el-racismo-9788491425205.html,Libros Para Ninos / De 6 A 9 Anos / Cuentos Con Valores,Libros Para Ninos / De 6 A 9 Anos / Cuentos Con Valores,https://www.sbs.com.pe/10-ideas-para-superar-el-racismo-9788491425205.html,9788491425205,,ALGAR,1,2021,40,,def3f334d9a637d8c7d411a733a280f225553986
2025-10-06,10 MENSAJES DE TUS ÁNGELES PARA TI,Doreen Virtue,45.0,,https://www.sbs.com.pe/10-mensajes-de-tus-angeles-para-ti-9788415292722.html,Magia Y Esoterismo,Magia Y Esoterismo | Magia Y Esoterismo / Angeles,https://www.sbs.com.pe/10-mensajes-de-tus-angeles-para-ti-9788415292722.html,9788415292722,,ARKANO BOOKS,1,2018,128,,3d9865cfe955b93d60f2a5f9b83614dfd1b6c4a1
2025-10-06,10 PRINCESAS JUGUETONAS,Rebecca Weerasekera,55.0,,https://www.sbs.com.pe/10-princesas-juguetonas-9788491452133.html,Libros Para Ninos / De 3 A 5 Anos / Cuentos,Libros Para Ninos / De 3 A 5 Anos / Cuentos,https://www.sbs.com.pe/10-princesas-juguetonas-9788491452133.html,9788491452133,,PICARONA - EDICIONES OBELISCO,1,2019,8,,6dd29dd035cabef392a9d0fcd497b51ff1326ee1
2025-10-06,10 REGLAS PARA COMPRENDER EL MUNDO,Tim Harford,49.0,,https://www.sbs.com.pe/10-reglas-para-comprender-el-mundo-9788416883943.html,Empresa Y Management,Empresa Y Management | Empresa Y Management / Gestion Del Tiempo Y Productividad,https://www.sbs.com.pe/10-reglas-para-comprender-el-mundo-9788416883943.html,9788416883943,,"CONECTA, ESP - RANDOM HOUSE MONDADORI",1,2021,336,,949fda39509b378dde511ec0a5aa846e42c1e62e
2025-10-06,10 SONIDOS ALICIA EN EL PAÍS DE LAS MARAVILLAS,Silver Dolphin,77.1,,https://www.sbs.com.pe/10-sonidos-alicia-en-el-pais-de-las-maravillas.html,Libros Para Ninos,Libros Para Ninos | Libros Para Ninos / De 3 A 5 Anos | Libros Para Ninos / De 3 A 5 Anos / Libros Interactivos,https://www.sbs.com.pe/10-sonidos-alicia-en-el-pais-de-las-maravillas.html,9786075772172,,,1,2025,10,120938,d002e20946fc68358530dee6ab5dca2e0d86658e
