transaction_id,fecha_compra,usuario_id,region,n_items,total_transaction,medio_pago,estado_pago,vendor,ingest_date
SBS-TX-0000001,2025-05-21,48048350,Arequipa,3,417.66,Plin,Pendiente,sbs,2025-11-09
SBS-TX-0000002,2024-04-05,28695003,Chiclayo,3,409.12,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000003,2025-04-18,92190565,Cusco,2,38.2,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000004,2024-06-08,80250319,Chiclayo,2,76.2,Plin,Completado,sbs,2025-11-09
SBS-TX-0000005,2025-08-01,67040474,Piura,4,520.53,Yape,Completado,sbs,2025-11-09
SBS-TX-0000006,2024-10-04,38328468,Chiclayo,3,564.87,Yape,Completado,sbs,2025-11-09
SBS-TX-0000007,2023-12-26,91390501,Piura,2,238.89,Yape,Completado,sbs,2025-11-09
SBS-TX-0000008,2025-01-17,36610839,Chiclayo,1,105.72,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000009,2023-10-22,86825671,Arequipa,1,171.0,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000010,2024-11-13,92518294,Chiclayo,1,85.72,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000011,2024-02-10,49437611,Piura,3,252.35,Yape,Completado,sbs,2025-11-09
SBS-TX-0000012,2024-12-07,70378491,Arequipa,2,374.7,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000013,2024-01-26,92021157,Arequipa,1,61.38,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000014,2024-04-22,19146919,Cusco,3,152.93,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000015,2024-11-01,78092509,Chiclayo,1,109.02,Efectivo,Cancelado,sbs,2025-11-09
SBS-TX-0000016,2024-05-01,28224724,Piura,1,148.2,Plin,Completado,sbs,2025-11-09
SBS-TX-0000017,2023-12-11,23930806,Piura,4,1176.08,Plin,Completado,sbs,2025-11-09
SBS-TX-0000018,2023-11-12,40116895,Arequipa,3,142.53,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000019,2024-09-18,16439568,Lima,4,466.7,Plin,Completado,sbs,2025-11-09
SBS-TX-0000020,2024-10-13,24591037,Cusco,2,524.25,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000021,2025-01-21,64459981,Piura,3,220.69,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000022,2024-09-10,72233240,Arequipa,3,855.44,Plin,Completado,sbs,2025-11-09
SBS-TX-0000023,2025-06-09,48668783,Arequipa,2,176.76,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000024,2023-11-21,34324718,Cusco,3,264.44,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000025,2024-11-09,11547308,Piura,4,657.16,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000026,2024-11-01,32099899,Lima,1,379.34,Transferencia,Pendiente,sbs,2025-11-09
SBS-TX-0000027,2025-09-10,92364557,Arequipa,1,85.44,Plin,Completado,sbs,2025-11-09
SBS-TX-0000028,2025-01-29,36826266,Lima,1,165.87,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000029,2023-11-11,28695003,Chiclayo,3,74.29,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000030,2024-06-10,77108989,Lima,2,252.44,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000031,2025-08-12,79798454,Cusco,1,385.53,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000032,2024-04-05,84825240,Piura,4,733.28,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000033,2024-09-01,21863001,Lima,1,86.24,Plin,Completado,sbs,2025-11-09
SBS-TX-0000034,2024-04-28,85636982,Piura,2,1101.33,Yape,Completado,sbs,2025-11-09
SBS-TX-0000035,2025-02-27,76005098,Cusco,3,432.63,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000036,2024-02-19,72024691,Piura,1,183.12,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000037,2025-04-27,46303495,Piura,4,1247.83,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000038,2024-11-15,87396519,Lima,2,293.1,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000039,2025-05-03,23311507,Piura,2,134.85,Yape,Completado,sbs,2025-11-09
SBS-TX-0000040,2024-05-26,58624457,Chiclayo,1,210.93,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000041,2024-08-11,82751830,Cusco,3,222.33,Yape,Completado,sbs,2025-11-09
SBS-TX-0000042,2025-08-11,27745355,Lima,2,136.25,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000043,2023-10-20,86459518,Arequipa,4,326.73,Plin,Completado,sbs,2025-11-09
SBS-TX-0000044,2023-10-03,49334559,Piura,3,186.07,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000045,2024-06-08,48709538,Arequipa,1,73.8,Yape,Completado,sbs,2025-11-09
SBS-TX-0000046,2024-01-23,53048207,Lima,1,142.46,Transferencia,Pendiente,sbs,2025-11-09
SBS-TX-0000047,2025-07-18,84918674,Chiclayo,3,458.1,Yape,Completado,sbs,2025-11-09
SBS-TX-0000048,2025-05-17,54454724,Lima,1,119.8,Yape,Pendiente,sbs,2025-11-09
SBS-TX-0000049,2025-01-02,84853354,Cusco,2,465.14,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000050,2023-11-19,83948598,Arequipa,1,171.12,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000051,2023-12-07,29554945,Piura,2,302.52,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000052,2024-07-30,50118830,Cusco,1,92.43,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000053,2025-01-11,45537497,Piura,3,561.48,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000054,2024-12-03,43544016,Cusco,1,124.95,Efectivo,Pendiente,sbs,2025-11-09
SBS-TX-0000055,2024-10-29,50634767,Cusco,2,385.96,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000056,2023-10-18,98665957,Lima,2,220.64,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000057,2024-05-11,18644892,Arequipa,2,484.23,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000058,2025-02-08,18159550,Chiclayo,3,427.17,Yape,Completado,sbs,2025-11-09
SBS-TX-0000059,2024-05-08,70826614,Cusco,2,96.41,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000060,2025-04-17,94037259,Cusco,1,97.75,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000061,2025-07-26,72588071,Arequipa,3,367.97,Yape,Pendiente,sbs,2025-11-09
SBS-TX-0000062,2024-09-25,93747900,Arequipa,1,220.8,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000063,2024-12-24,15038665,Lima,2,197.34,Plin,Completado,sbs,2025-11-09
SBS-TX-0000064,2025-03-06,32769522,Piura,4,467.24,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000065,2024-02-08,37386042,Lima,4,1044.07,Tarjeta de Crédito,Completado,sbs,2025-11-09
SBS-TX-0000066,2025-05-03,87004412,Piura,1,57.0,Yape,Completado,sbs,2025-11-09
SBS-TX-0000067,2025-03-21,73576443,Chiclayo,2,109.1,Yape,Cancelado,sbs,2025-11-09
SBS-TX-0000068,2025-01-07,88877489,Chiclayo,3,499.49,Efectivo,Completado,sbs,2025-11-09
SBS-TX-0000069,2024-03-07,91493489,Lima,2,133.64,Transferencia,Completado,sbs,2025-11-09
SBS-TX-0000070,2024-11-13,73306295,Lima,4,842.25,Efectivo,Completado,sbs,2025-11-09
