transaction_id,line_id,titulo,cantidad,precio_unitario,descuento_aplicado_pct,precio_final_unitario,line_total,vendor,ingest_date
SBS-TX-0000001,SBS-TX-0000001-L01,LA ABUNDANCIA ESTÁ SERVIDA,3,67.6,9.0,61.52,184.56,sbs,2025-11-09
SBS-TX-0000001,SBS-TX-0000001-L02,COMO AGUA PARA CHOCOLATE,3,49.0,10.0,44.1,132.3,sbs,2025-11-09
SBS-TX-0000001,SBS-TX-0000001-L03,LOS ARISTOGATITOS. EL CAFÉ DE LAS HUELLITAS,3,35.0,4.0,33.6,100.8,sbs,2025-11-09
SBS-TX-0000002,SBS-TX-0000002-L01,EINSTEIN: SU VIDA Y SU UNIVERSO,3,79.0,20.0,63.2,189.6,sbs,2025-11-09
SBS-TX-0000002,SBS-TX-0000002-L02,MACANUDO 3,3,49.0,10.0,44.1,132.3,sbs,2025-11-09
SBS-TX-0000002,SBS-TX-0000002-L03,TRAS LA PISTA DEL YETI,2,49.0,11.0,43.61,87.22,sbs,2025-11-09
SBS-TX-0000003,SBS-TX-0000003-L01,"FATE OF TEN, THE (SEPTEMBER 2015)",3,5.0,0.0,5.0,15.0,sbs,2025-11-09
SBS-TX-0000003,SBS-TX-0000003-L02,FIRE FORCE N.19,1,29.0,20.0,23.2,23.2,sbs,2025-11-09
SBS-TX-0000004,SBS-TX-0000004-L01,THE DIARY OF A WIMPY KID MOVIE DIARY (REVISED & EXPANDED),3,5.0,0.0,5.0,15.0,sbs,2025-11-09
SBS-TX-0000004,SBS-TX-0000004-L02,BROOKLYN BRUJAS Nº 01 / 03 LABYRINTH LOST,1,72.0,15.0,61.2,61.2,sbs,2025-11-09
SBS-TX-0000005,SBS-TX-0000005-L01,PAPERBLANKS DHARMA DRAGON ROMPECABEZAS (70 X 50 CM),1,78.75,3.0,76.39,76.39,sbs,2025-11-09
SBS-TX-0000005,SBS-TX-0000005-L02,LIT (LIFE IGNITION TOOLS),2,89.0,0.0,89.0,178.0,sbs,2025-11-09
SBS-TX-0000005,SBS-TX-0000005-L03,ALICIA A TRAVES DEL ESPEJO,2,129.0,21.0,101.91,203.82,sbs,2025-11-09
SBS-TX-0000005,SBS-TX-0000005-L04,LA MEMORIA DEL MUNDO INCA: GUAMAN POMA Y LA ESCRITURA DE LA NUEVA CORONICA,1,82.0,24.0,62.32,62.32,sbs,2025-11-09
SBS-TX-0000006,SBS-TX-0000006-L01,TECNOLOGIAS DE LA INFORMACION. ESTRATEGIAS Y TRANSFORMACION EN LOS NEGOCIOS.,3,108.3,1.0,107.22,321.66,sbs,2025-11-09
SBS-TX-0000006,SBS-TX-0000006-L02,LIBRO INFANTIL 3D PARA CONTAR: 5 UNICORNIOS MÁGICOS,3,56.4,6.0,53.02,159.06,sbs,2025-11-09
SBS-TX-0000006,SBS-TX-0000006-L03,BUSQUEDA DE DIOS Y SENTIDO DE LA VIDA,1,85.0,1.0,84.15,84.15,sbs,2025-11-09
SBS-TX-0000007,SBS-TX-0000007-L01,APRENDE A DIBUJAR COMIC VOL.3,3,79.0,15.0,67.15,201.45,sbs,2025-11-09
SBS-TX-0000007,SBS-TX-0000007-L02,PERFECTOS MENTIROSOS 2,1,39.0,4.0,37.44,37.44,sbs,2025-11-09
SBS-TX-0000008,SBS-TX-0000008-L01,COLLINS BIG CAT PHONICS PROGRESS - RED HEN,3,35.6,1.0,35.24,105.72,sbs,2025-11-09
SBS-TX-0000009,SBS-TX-0000009-L01,LA CHISPA,2,95.0,10.0,85.5,171.0,sbs,2025-11-09
SBS-TX-0000010,SBS-TX-0000010-L01,LA QUIETUD ES LA CLAVE,2,56.4,24.0,42.86,85.72,sbs,2025-11-09
