usuario_id,edad,genero,region,tipo_usuario,fecha_registro,vendor,ingest_date
39958838,58,Masculino,Lima,Recurrente,2023-09-08,sbs,2025-11-09
21668732,26,Otro,Lima,Recurrente,2024-07-12,sbs,2025-11-09
41227216,55,Femenino,Lima,Nuevo,2023-08-12,sbs,2025-11-09
66306997,50,Otro,Lima,Nuevo,2024-07-12,sbs,2025-11-09
31429110,32,Femenino,Cusco,Nuevo,2023-01-07,sbs,2025-11-09
55176955,62,Femenino,Piura,Nuevo,2023-08-09,sbs,2025-11-09
91030736,24,Masculino,Arequipa,Nuevo,2023-12-19,sbs,2025-11-09
20576383,34,Masculino,Arequipa,Nuevo,2024-01-23,sbs,2025-11-09
87490893,53,Femenino,Cusco,Recurrente,2024-01-06,sbs,2025-11-09
48840994,30,Otro,Lima,Nuevo,2023-08-22,sbs,2025-11-09
95320121,23,Masculino,Lima,Nuevo,2024-04-09,sbs,2025-11-09
96977837,41,Masculino,Piura,Nuevo,2023-10-01,sbs,2025-11-09
31931511,22,Otro,Chiclayo,Nuevo,2023-09-08,sbs,2025-11-09
39476249,47,Femenino,Piura,Recurrente,2024-07-24,sbs,2025-11-09
52339391,61,Femenino,Lima,Nuevo,2023-02-02,sbs,2025-11-09
52235350,43,Femenino,Lima,Nuevo,2024-08-03,sbs,2025-11-09
29175900,31,Otro,Arequipa,Nuevo,2024-04-14,sbs,2025-11-09
45264581,34,Masculino,Chiclayo,Recurrente,2024-07-05,sbs,2025-11-09
58586340,65,Otro,Arequipa,Recurrente,2024-02-13,sbs,2025-11-09
24716857,32,Masculino,Cusco,Nuevo,2023-02-18,sbs,2025-11-09
90048665,27,Otro,Chiclayo,Recurrente,2024-03-08,sbs,2025-11-09
81016525,22,Femenino,Arequipa,Nuevo,2024-04-24,sbs,2025-11-09
82070937,34,Otro,Lima,Recurrente,2023-04-28,sbs,2025-11-09
31227574,66,Femenino,Piura,Nuevo,2024-03-21,sbs,2025-11-09
78139880,47,Masculino,Piura,Recurrente,2023-07-02,sbs,2025-11-09
91734598,24,Otro,Piura,Recurrente,2024-06-03,sbs,2025-11-09
